stop_id,stop_name,buses_day,buses_am_peak,buses_pm_peak,routes_served,metro_dist_m,near_metro,mall_frontage,is_surveyed,affected
212001,Onpassive Bus Terminus 1,272,63,52,2,139.0,True,False,False,True
199001,City Centre Metro Bus Stop 1-1,334,62,50,7,108.0,True,True,False,True
211901,Onpassive Bus Terminus 2,372,60,56,2,194.0,True,False,False,True
466101,"Al Quoz, Al Khail Gate 3",305,59,52,4,3265.0,False,False,True,True
518102,Discovery Garden Metro Bus Stop 2,335,59,62,3,60.0,True,False,False,True
713501,,322,58,58,2,130.0,True,False,False,True
401001,BurJuman Metro Bus Stop 3-1,324,58,56,6,259.0,False,True,False,True
312501,"Al Nahda, Madina Super Market 1",261,58,41,6,2194.0,False,True,False,True
131101,,324,58,58,3,48.0,True,False,False,True
496101,Coral Tower 1,234,57,55,5,180.0,True,False,False,True
195101,Gold Souq Bus Station External,316,57,54,7,71.0,True,True,False,True
455001,Hana Center 1,319,56,54,6,1311.0,False,True,True,True
399002,,322,56,60,3,136.0,True,False,False,True
895501,Emirates Tower Metro Bus Stop Landside,316,56,55,4,198.0,True,False,True,True
977501,Trade Center Metro Bus Stop,304,56,52,5,195.0,True,True,False,True
455101,Energy Metro Bus Stop Landside,320,54,57,2,83.0,True,False,False,True
203201,Sharaf DG Metro Bus Stop 3-1,323,53,58,8,117.0,True,False,True,True
441503,Dubai Mall Metro Bus Stop Landside 3,209,51,40,3,28.0,True,True,False,True
808501,Business Bay Metro Bus Stop Seaside,268,50,44,3,130.0,True,False,False,True
785001,Qaser Al Kabayel Center,300,49,52,5,1058.0,False,True,False,True
256103,Al Jafiliya Bus Station 3,285,49,47,3,118.0,True,False,True,True
469001,Dubai Birds and Pets Market 1,221,47,40,3,11587.0,False,True,False,True
424001,"Karama, Dubai Municipality Center 1",244,47,38,5,512.0,False,True,False,True
496102,Coral Tower 2,176,46,41,4,172.0,True,False,False,True
440001,Rashid Hospital Roundabout 1,260,46,42,6,164.0,True,False,False,True
314102,Business Bay Metro Bus Stop Landside 2,188,43,43,3,93.0,True,False,True,True
314103,Business Bay Metro Bus Stop Landside 3,177,41,31,2,133.0,True,False,True,True
611102,Business Bay 2 Bus Station 2,137,35,34,2,378.0,False,False,True,True
155001,Al Rigga Metro Bus Stop 1,137,23,23,2,81.0,True,False,True,True
256102,Al Jafiliya Bus Station 2,61,18,9,1,112.0,True,False,True,True
155002,Al Rigga Metro Bus Stop 2,35,7,5,1,26.0,True,False,True,True
256106,Al Jafiliya Bus Station 6,35,5,6,1,138.0,True,False,True,True
