scenario,affected_stops,cases_per_am_peak,annual_cases,annual_delay_h_30s,extra_late_trips_30s,extra_late_trips_60s,dOTP_peak_pp_30s,dOTP_peak_pp_60s
low (half survey rate at new stops),112,212.0,105800.0,882.0,2740.0,6700.0,0.11,0.26
central (survey rate),112,363.0,181600.0,1513.0,4700.0,11500.0,0.18,0.45
