stop_id,stop_name,buses_day,buses_am_peak,buses_pm_peak,routes_served,metro_dist_m,near_metro,mall_frontage,is_surveyed,affected
469001,Dubai Birds and Pets Market 1,221,47,40,3,11587.0,False,True,False,True
513501,Dubai Courts 1,214,47,29,7,532.0,False,False,False,False
305502,"Al Nahda 1, Zaafranah 2",221,46,40,4,2033.0,False,False,False,False
304001,Dubai Grand Hotel 1,271,46,46,6,740.0,False,False,False,False
493102,Canal Views Hotel Apartments 2,176,46,42,4,284.0,False,False,False,False
440001,Rashid Hospital Roundabout 1,260,46,42,6,164.0,True,False,False,True
158501,Dubai Textile City Main Gate,212,46,43,3,7665.0,False,False,False,False
492102,Bay Square 2,176,46,42,4,590.0,False,False,False,False
496102,Coral Tower 2,176,46,41,4,172.0,True,False,False,True
409002,Sheikh Rashid Road Intersection 2,259,46,43,4,1248.0,False,False,False,False
960001,"Ras Al Khor, Terminus 1",211,46,40,4,3921.0,False,False,False,False
270102,"Al Warsan 3, RTA Staff Accommodation 2",221,46,40,3,10725.0,False,False,False,False
417001,Department of Health 1,261,46,46,5,559.0,False,False,False,False
423002,Central Post Office 2,272,46,46,6,824.0,False,False,False,False
411102,E311 Road 2 (Non Stop),200,45,40,2,3036.0,False,False,False,False
288001,"Al Nahda, Shabab Alahli Club 1",272,45,42,7,231.0,False,False,False,False
326501,"Al Nahda, Motawa Building 1",229,45,39,4,2463.0,False,False,False,False
621002,"Al Quoz, New Housing Junction 2",274,45,44,3,1827.0,False,False,False,False
311102,"Al Quoz, Latifa Bint Hamdan Street 2",274,45,44,3,1272.0,False,False,False,False
323002,Damascus Road 3-2,254,45,43,6,1987.0,False,False,False,False
233001,Cargo Village,256,45,44,6,516.0,False,False,False,False
331001,Oxford School 1,253,45,41,5,2433.0,False,False,False,False
101003,Stadium Bus Station 3,219,44,45,1,208.0,False,False,False,False
779001,Grand HyperMarket B-1,266,44,44,6,1942.0,False,True,False,False
325002,Al Qusais Industrial Area 2,260,44,46,6,2771.0,False,False,False,False
305002,Damascus Road 1-2,254,44,43,6,1086.0,False,False,False,False
253101,Silicon Oasis North Park 1,204,44,39,4,10800.0,False,False,False,False
443001,British Council 1,258,44,38,4,396.0,False,False,False,False
424002,"Karama, Dubai Municipality Center 2",241,44,39,5,410.0,False,True,False,False
495102,Clover Bay Tower 2,182,44,39,3,631.0,False,False,False,False
551102,The Binary Tower 2,182,44,39,3,702.0,False,False,False,False
781001,Landmark Group 1,264,43,47,4,1397.0,False,False,False,False
335501,Emirates Aviation University 1,190,43,35,3,12200.0,False,False,False,False
783001,Nuzul labour Accommodation 1,250,43,43,3,1036.0,False,False,False,False
188002,Clock Tower Roundabout 2,267,43,44,5,425.0,False,False,False,False
314102,Business Bay Metro Bus Stop Landside 2,188,43,43,3,93.0,True,False,True,True
254101,Silicon Oasis SIT Tower 1,204,43,39,4,10869.0,False,False,False,False
276101,"DIP, Madina Supermarket Terminus",245,43,47,3,5692.0,False,True,False,False
411101,E311 Road 1 (Non Stop),195,43,43,2,3018.0,False,False,False,False
704501,"Al Qusais Industrial Area 3, Terminus",219,43,42,1,3262.0,False,False,False,False
172501,Dragon Mart 2 External,223,43,48,4,6852.0,False,False,False,False
658002,Interchange 4-2,249,43,43,5,709.0,False,False,False,False
432001,Centre Point Shopping Centre 1,249,43,43,6,476.0,False,True,False,False
134002,Islamic Institute 2,214,42,36,5,844.0,False,False,False,False
782001,Al Khaleej Al Madina Supermarket 1,250,42,44,3,1076.0,False,True,False,False
259501,"Dubai Studio City, Operation Office 1",258,42,49,6,9238.0,False,False,False,False
137101,Financial Center Metro Bus Stop Seaside,223,42,37,2,111.0,True,True,False,False
352502,Public Transport Agency 2,235,42,36,5,3068.0,False,False,False,False
452102,"Dubai Festival City, Marks & Spencer 2",232,41,44,5,456.0,False,False,False,False
314103,Business Bay Metro Bus Stop Landside 3,177,41,31,2,133.0,True,False,True,True
311501,"Al Nahda, 19A Street 1",219,41,40,4,2411.0,False,False,False,False
600102,"Sports City, ICC Headquarter 2",221,41,43,5,6643.0,False,False,False,False
401002,BurJuman Metro Bus Stop 3-2,212,41,31,5,314.0,False,True,False,False
173102,Dunes Village 2,241,41,46,3,5275.0,False,False,False,False
234001,Emirates Airlines Headquarters 1,225,41,39,5,132.0,True,False,False,False
317501,"International City, China 3-1",209,41,39,4,7419.0,False,False,False,False
326001,Technical School 1,259,41,41,5,1554.0,False,False,False,False
887001,Galadari Driving School 1,244,41,40,5,3202.0,False,False,False,False
866001,"Muhaisnah 1, Intersection 1",243,40,42,5,1078.0,False,False,False,False
238001,Mawakeb School 1,218,40,40,4,1001.0,False,False,False,False
961503,Rashidiya Bus Station Gate 3,261,40,39,8,91.0,True,False,False,False
339501,Dubai Mens College 2-1,190,40,35,3,11779.0,False,False,False,False
336501,Al Ghurair University 2-1,190,40,36,3,12240.0,False,False,False,False
337501,Al Ghurair University 3-1,190,40,36,3,12274.0,False,False,False,False
322001,Damascus Road 2-1,229,40,42,5,1586.0,False,False,False,False
313001,"Al Twar 4, Qutami Al Suweidi Masjid 1",259,40,41,5,837.0,False,False,False,False
238002,Mawakeb School 2,215,40,41,4,962.0,False,False,False,False
511501,Silicon Oasis HQ 1,202,40,36,4,9608.0,False,False,False,False
877002,Sheikh Rashid Colony 1-2,226,40,41,4,361.0,False,False,False,False
336502,Al Ghurair University 2-2,190,40,37,3,12262.0,False,False,False,False
